Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2021-12-01 01:00 AM,2021,12,01,01,75.1,161,Unhealthy,76.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 02:00 AM,2021,12,01,02,72.0,160,Unhealthy,69.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 03:00 AM,2021,12,01,03,58.5,153,Unhealthy,45.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 04:00 AM,2021,12,01,04,45.7,126,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 05:00 AM,2021,12,01,05,43.3,120,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 06:00 AM,2021,12,01,06,36.1,102,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 07:00 AM,2021,12,01,07,30.5,90,Moderate,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 08:00 AM,2021,12,01,08,27.7,84,Moderate,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 09:00 AM,2021,12,01,09,32.8,95,Moderate,38.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 10:00 AM,2021,12,01,10,35.9,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 11:00 AM,2021,12,01,11,42.9,119,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 12:00 PM,2021,12,01,12,48.9,134,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 01:00 PM,2021,12,01,13,63.4,155,Unhealthy,78.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 02:00 PM,2021,12,01,14,35.7,101,Unhealthy for Sensitive Groups,8.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 03:00 PM,2021,12,01,15,20.8,69,Moderate,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 04:00 PM,2021,12,01,16,12.4,52,Moderate,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 05:00 PM,2021,12,01,17,11.2,47,Good,10.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 06:00 PM,2021,12,01,18,9.1,38,Good,7.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 07:00 PM,2021,12,01,19,7.0,29,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 08:00 PM,2021,12,01,20,5.5,23,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 09:00 PM,2021,12,01,21,4.7,20,Good,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2021-12-01 10:00 PM,2021,12,01,22,5.3,22,Good,6.0,UG/M3,1 Hr,Valid
