Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2019-12-01 01:00 AM,2019,12,01,01,32.8,95,Moderate,37.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 02:00 AM,2019,12,01,02,30.4,89,Moderate,28.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 03:00 AM,2019,12,01,03,27.7,84,Moderate,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 04:00 AM,2019,12,01,04,24.3,77,Moderate,21.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 05:00 AM,2019,12,01,05,21.1,70,Moderate,18.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 06:00 AM,2019,12,01,06,17.5,62,Moderate,14.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 07:00 AM,2019,12,01,07,14.7,56,Moderate,12.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 08:00 AM,2019,12,01,08,13.8,55,Moderate,13.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 09:00 AM,2019,12,01,09,15.4,58,Moderate,17.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 10:00 AM,2019,12,01,10,29.7,88,Moderate,44.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 11:00 AM,2019,12,01,11,27.8,84,Moderate,26.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 12:00 PM,2019,12,01,12,30.4,89,Moderate,33.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 01:00 PM,2019,12,01,13,21.7,71,Moderate,13.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 02:00 PM,2019,12,01,14,22.3,72,Moderate,23.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 03:00 PM,2019,12,01,15,24.1,76,Moderate,26.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 04:00 PM,2019,12,01,16,31.5,92,Moderate,39.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 05:00 PM,2019,12,01,17,47.3,130,Unhealthy for Sensitive Groups,63.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 06:00 PM,2019,12,01,18,59.6,153,Unhealthy,72.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 07:00 PM,2019,12,01,19,46.3,128,Unhealthy for Sensitive Groups,33.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 08:00 PM,2019,12,01,20,48.6,133,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 09:00 PM,2019,12,01,21,67.3,157,Unhealthy,86.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 10:00 PM,2019,12,01,22,49.1,134,Unhealthy for Sensitive Groups,31.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-01 11:00 PM,2019,12,01,23,71.5,159,Unhealthy,94.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 12:00 AM,2019,12,02,00,116.3,182,Unhealthy,161.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 01:00 AM,2019,12,02,01,134.6,192,Unhealthy,153.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 02:00 AM,2019,12,02,02,128.3,189,Unhealthy,122.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 03:00 AM,2019,12,02,03,115.1,182,Unhealthy,102.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 04:00 AM,2019,12,02,04,91.0,169,Unhealthy,67.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 05:00 AM,2019,12,02,05,88.0,168,Unhealthy,85.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 06:00 AM,2019,12,02,06,64.5,156,Unhealthy,41.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 07:00 AM,2019,12,02,07,49.7,136,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 08:00 AM,2019,12,02,08,50.3,137,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 09:00 AM,2019,12,02,09,38.6,109,Unhealthy for Sensitive Groups,27.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 10:00 AM,2019,12,02,10,21.3,70,Moderate,4.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 11:00 AM,2019,12,02,11,13.1,53,Moderate,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 12:00 PM,2019,12,02,12,8.0,33,Good,3.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 01:00 PM,2019,12,02,13,4.0,17,Good,0.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 02:00 PM,2019,12,02,14,4.4,18,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 03:00 PM,2019,12,02,15,6.2,26,Good,8.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 04:00 PM,2019,12,02,16,5.6,23,Good,5.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 05:00 PM,2019,12,02,17,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 06:00 PM,2019,12,02,18,7.6,32,Good,9.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 07:00 PM,2019,12,02,19,24.3,77,Moderate,41.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 08:00 PM,2019,12,02,20,19.1,66,Moderate,14.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 09:00 PM,2019,12,02,21,16.0,59,Moderate,13.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 10:00 PM,2019,12,02,22,14.5,56,Moderate,13.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-02 11:00 PM,2019,12,02,23,16.7,61,Moderate,19.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 12:00 AM,2019,12,03,00,17.8,63,Moderate,19.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 01:00 AM,2019,12,03,01,17.9,63,Moderate,18.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 02:00 AM,2019,12,03,02,17.9,63,Moderate,18.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 03:00 AM,2019,12,03,03,16.4,60,Moderate,15.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 04:00 AM,2019,12,03,04,14.2,55,Moderate,12.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 05:00 AM,2019,12,03,05,11.1,46,Good,8.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 06:00 AM,2019,12,03,06,8.5,35,Good,6.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 07:00 AM,2019,12,03,07,9.7,40,Good,11.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 08:00 AM,2019,12,03,08,12.3,51,Moderate,15.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 09:00 AM,2019,12,03,09,13.6,54,Moderate,15.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 10:00 AM,2019,12,03,10,19.8,67,Moderate,26.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 11:00 AM,2019,12,03,11,24.4,77,Moderate,29.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 12:00 PM,2019,12,03,12,30.7,90,Moderate,37.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 01:00 PM,2019,12,03,13,33.8,97,Moderate,37.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 02:00 PM,2019,12,03,14,37.4,106,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 03:00 PM,2019,12,03,15,38.7,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 04:00 PM,2019,12,03,16,44.8,124,Unhealthy for Sensitive Groups,51.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 05:00 PM,2019,12,03,17,52.9,144,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 06:00 PM,2019,12,03,18,56.4,151,Unhealthy,60.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 07:00 PM,2019,12,03,19,55.2,150,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 08:00 PM,2019,12,03,20,54.1,147,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 09:00 PM,2019,12,03,21,50.0,137,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 10:00 PM,2019,12,03,22,37.5,106,Unhealthy for Sensitive Groups,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-03 11:00 PM,2019,12,03,23,28.2,85,Moderate,19.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 12:00 AM,2019,12,04,00,25.6,79,Moderate,23.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 01:00 AM,2019,12,04,01,26.8,82,Moderate,28.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 02:00 AM,2019,12,04,02,27.9,84,Moderate,29.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 03:00 AM,2019,12,04,03,29.9,88,Moderate,32.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 04:00 AM,2019,12,04,04,30.4,89,Moderate,31.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 05:00 AM,2019,12,04,05,34.7,99,Moderate,39.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 06:00 AM,2019,12,04,06,37.3,105,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 07:00 AM,2019,12,04,07,38.6,109,Unhealthy for Sensitive Groups,40.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 08:00 AM,2019,12,04,08,42.3,118,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 09:00 AM,2019,12,04,09,51.6,141,Unhealthy for Sensitive Groups,61.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 10:00 AM,2019,12,04,10,36.8,104,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 11:00 AM,2019,12,04,11,31.9,93,Moderate,27.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 12:00 PM,2019,12,04,12,31.9,93,Moderate,-999.0,UG/M3,1 Hr,Missing
Sarajevo,PM2.5 - Principal,2019-12-04 01:00 PM,2019,12,04,13,35.9,102,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 02:00 PM,2019,12,04,14,24.5,77,Moderate,16.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 03:00 PM,2019,12,04,15,25.8,80,Moderate,27.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 04:00 PM,2019,12,04,16,25.4,79,Moderate,25.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 05:00 PM,2019,12,04,17,29.2,87,Moderate,33.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 06:00 PM,2019,12,04,18,33.6,96,Moderate,38.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 07:00 PM,2019,12,04,19,35.8,102,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2019-12-04 08:00 PM,2019,12,04,20,42.4,118,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
