Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Sarajevo,PM2.5 - Principal,2018-12-01 01:00 AM,2018,12,01,01,100.3,174,Unhealthy,103.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 02:00 AM,2018,12,01,02,106.1,177,Unhealthy,112.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 03:00 AM,2018,12,01,03,108.0,178,Unhealthy,110.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 04:00 AM,2018,12,01,04,95.0,171,Unhealthy,82.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 05:00 AM,2018,12,01,05,90.5,169,Unhealthy,86.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 06:00 AM,2018,12,01,06,86.2,167,Unhealthy,82.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 07:00 AM,2018,12,01,07,90.7,169,Unhealthy,92.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 08:00 AM,2018,12,01,08,90.9,169,Unhealthy,91.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 09:00 AM,2018,12,01,09,94.0,171,Unhealthy,101.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 10:00 AM,2018,12,01,10,91.8,170,Unhealthy,86.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 11:00 AM,2018,12,01,11,102.0,175,Unhealthy,123.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 12:00 PM,2018,12,01,12,122.3,185,Unhealthy,145.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 01:00 PM,2018,12,01,13,142.9,196,Unhealthy,161.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 02:00 PM,2018,12,01,14,154.2,205,Very Unhealthy,165.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 03:00 PM,2018,12,01,15,169.1,219,Very Unhealthy,184.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 04:00 PM,2018,12,01,16,171.0,221,Very Unhealthy,173.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 05:00 PM,2018,12,01,17,171.0,221,Very Unhealthy,171.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 06:00 PM,2018,12,01,18,178.5,229,Very Unhealthy,186.0,UG/M3,1 Hr,Valid
Sarajevo,PM2.5 - Principal,2018-12-01 07:00 PM,2018,12,01,19,192.2,242,Very Unhealthy,206.0,UG/M3,1 Hr,Valid
