Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2023-06-01 02:00 AM,2023,06,01,02,9.5,40,Good,9.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 03:00 AM,2023,06,01,03,9.9,41,Good,10.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 04:00 AM,2023,06,01,04,10.7,45,Good,11.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 05:00 AM,2023,06,01,05,11.1,46,Good,11.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 06:00 AM,2023,06,01,06,11.1,46,Good,11.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 07:00 AM,2023,06,01,07,10.9,45,Good,11.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 08:00 AM,2023,06,01,08,11.5,48,Good,12.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 09:00 AM,2023,06,01,09,11.6,48,Good,12.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 10:00 AM,2023,06,01,10,11.3,47,Good,10.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 11:00 AM,2023,06,01,11,11.0,46,Good,10.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 12:00 PM,2023,06,01,12,11.2,47,Good,11.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 01:00 PM,2023,06,01,13,11.9,50,Good,13.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 02:00 PM,2023,06,01,14,12.3,51,Moderate,13.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 03:00 PM,2023,06,01,15,12.7,52,Moderate,13.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 04:00 PM,2023,06,01,16,12.7,52,Moderate,12.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 05:00 PM,2023,06,01,17,12.4,52,Moderate,11.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 06:00 PM,2023,06,01,18,12.3,51,Moderate,12.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 07:00 PM,2023,06,01,19,12.1,51,Moderate,11.4,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 08:00 PM,2023,06,01,20,11.8,49,Good,10.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2023-06-01 09:00 PM,2023,06,01,21,11.5,48,Good,10.7,UG/M3,1 Hr,Valid
