Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Banja Luka,PM2.5 - Principal,2022-12-01 01:00 AM,2022,12,01,01,34.7,99,Moderate,25.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 02:00 AM,2022,12,01,02,26.9,82,Moderate,19.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 03:00 AM,2022,12,01,03,22.0,72,Moderate,17.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 04:00 AM,2022,12,01,04,20.9,70,Moderate,19.8,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 05:00 AM,2022,12,01,05,18.0,63,Moderate,15.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 06:00 AM,2022,12,01,06,20.3,68,Moderate,22.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 07:00 AM,2022,12,01,07,22.8,74,Moderate,25.3,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 08:00 AM,2022,12,01,08,24.5,77,Moderate,26.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 09:00 AM,2022,12,01,09,29.5,88,Moderate,34.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 10:00 AM,2022,12,01,10,28.1,85,Moderate,26.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 11:00 AM,2022,12,01,11,32.4,94,Moderate,36.7,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 12:00 PM,2022,12,01,12,30.5,90,Moderate,28.5,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 01:00 PM,2022,12,01,13,26.0,80,Moderate,21.6,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 02:00 PM,2022,12,01,14,27.5,83,Moderate,29.0,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 03:00 PM,2022,12,01,15,27.9,84,Moderate,28.2,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 04:00 PM,2022,12,01,16,29.9,88,Moderate,31.9,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 05:00 PM,2022,12,01,17,27.3,83,Moderate,24.1,UG/M3,1 Hr,Valid
Banja Luka,PM2.5 - Principal,2022-12-01 06:00 PM,2022,12,01,18,28.5,85,Moderate,30.1,UG/M3,1 Hr,Valid
