Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name,diskretno_vrijeme
Banja Luka,PM2.5 - Principal,2021-09-08 20:00:00,2021,9,8,20,10.4,43,Good,11.5,UG/M3,1 Hr,Valid,0.0
Banja Luka,PM2.5 - Principal,2021-09-08 21:00:00,2021,9,8,21,11.8,49,Good,13.2,UG/M3,1 Hr,Valid,1.0
Banja Luka,PM2.5 - Principal,2021-09-08 22:00:00,2021,9,8,22,16.0,59,Moderate,19.4,UG/M3,1 Hr,Valid,2.0
Banja Luka,PM2.5 - Principal,2021-09-08 23:00:00,2021,9,8,23,17.5,62,Moderate,19.0,UG/M3,1 Hr,Valid,3.0
Banja Luka,PM2.5 - Principal,2021-09-09 00:00:00,2021,9,9,0,17.2,62,Moderate,16.8,UG/M3,1 Hr,Valid,4.0
Banja Luka,PM2.5 - Principal,2021-09-09 01:00:00,2021,9,9,1,16.2,60,Moderate,15.2,UG/M3,1 Hr,Valid,5.0
Banja Luka,PM2.5 - Principal,2021-09-09 02:00:00,2021,9,9,2,16.0,59,Moderate,15.9,UG/M3,1 Hr,Valid,6.0
Banja Luka,PM2.5 - Principal,2021-09-09 03:00:00,2021,9,9,3,15.4,58,Moderate,14.8,UG/M3,1 Hr,Valid,7.0
Banja Luka,PM2.5 - Principal,2021-09-09 04:00:00,2021,9,9,4,14.6,56,Moderate,13.7,UG/M3,1 Hr,Valid,8.0
Banja Luka,PM2.5 - Principal,2021-09-09 05:00:00,2021,9,9,5,13.4,54,Moderate,12.3,UG/M3,1 Hr,Valid,9.0
Banja Luka,PM2.5 - Principal,2021-09-09 06:00:00,2021,9,9,6,12.4,52,Moderate,11.5,UG/M3,1 Hr,Valid,10.0
Banja Luka,PM2.5 - Principal,2021-09-09 07:00:00,2021,9,9,7,12.5,52,Moderate,12.0,UG/M3,1 Hr,Valid,11.0
Banja Luka,PM2.5 - Principal,2021-09-09 08:00:00,2021,9,9,8,13.5,54,Moderate,15.1,UG/M3,1 Hr,Valid,12.0
Banja Luka,PM2.5 - Principal,2021-09-09 09:00:00,2021,9,9,9,13.2,53,Moderate,12.8,UG/M3,1 Hr,Valid,13.0
Banja Luka,PM2.5 - Principal,2021-09-09 10:00:00,2021,9,9,10,13.5,54,Moderate,14.0,UG/M3,1 Hr,Valid,14.0
Banja Luka,PM2.5 - Principal,2021-09-09 11:00:00,2021,9,9,11,13.6,54,Moderate,13.8,UG/M3,1 Hr,Valid,15.0
Banja Luka,PM2.5 - Principal,2021-09-09 12:00:00,2021,9,9,12,13.8,55,Moderate,14.4,UG/M3,1 Hr,Valid,16.0
Banja Luka,PM2.5 - Principal,2021-09-09 13:00:00,2021,9,9,13,13.6,54,Moderate,12.9,UG/M3,1 Hr,Valid,17.0
Banja Luka,PM2.5 - Principal,2021-09-09 14:00:00,2021,9,9,14,13.4,54,Moderate,12.9,UG/M3,1 Hr,Valid,18.0
Banja Luka,PM2.5 - Principal,2021-09-09 15:00:00,2021,9,9,15,13.2,53,Moderate,12.6,UG/M3,1 Hr,Valid,19.0
Banja Luka,PM2.5 - Principal,2021-09-09 16:00:00,2021,9,9,16,13.0,53,Moderate,12.5,UG/M3,1 Hr,Valid,20.0
Banja Luka,PM2.5 - Principal,2021-09-09 17:00:00,2021,9,9,17,11.9,50,Good,10.0,UG/M3,1 Hr,Valid,21.0
Banja Luka,PM2.5 - Principal,2021-09-09 18:00:00,2021,9,9,18,11.3,47,Good,10.1,UG/M3,1 Hr,Valid,22.0
Banja Luka,PM2.5 - Principal,2021-09-09 19:00:00,2021,9,9,19,10.6,44,Good,9.6,UG/M3,1 Hr,Valid,23.0
Banja Luka,PM2.5 - Principal,2021-09-09 20:00:00,2021,9,9,20,10.9,45,Good,11.2,UG/M3,1 Hr,Valid,24.0
Banja Luka,PM2.5 - Principal,2021-09-09 21:00:00,2021,9,9,21,14.6,56,Moderate,18.8,UG/M3,1 Hr,Valid,25.0
Banja Luka,PM2.5 - Principal,2021-09-09 22:00:00,2021,9,9,22,17.6,63,Moderate,20.4,UG/M3,1 Hr,Valid,26.0
Banja Luka,PM2.5 - Principal,2021-09-09 23:00:00,2021,9,9,23,17.3,62,Moderate,17.0,UG/M3,1 Hr,Valid,27.0
Banja Luka,PM2.5 - Principal,2021-09-10 00:00:00,2021,9,10,0,19.9,67,Moderate,22.5,UG/M3,1 Hr,Valid,28.0
Banja Luka,PM2.5 - Principal,2021-09-10 01:00:00,2021,9,10,1,16.3,60,Moderate,12.7,UG/M3,1 Hr,Valid,29.0
Banja Luka,PM2.5 - Principal,2021-09-10 02:00:00,2021,9,10,2,14.2,55,Moderate,12.0,UG/M3,1 Hr,Valid,30.0
Banja Luka,PM2.5 - Principal,2021-09-10 03:00:00,2021,9,10,3,13.7,54,Moderate,13.3,UG/M3,1 Hr,Valid,31.0
Banja Luka,PM2.5 - Principal,2021-09-10 04:00:00,2021,9,10,4,12.8,52,Moderate,11.9,UG/M3,1 Hr,Valid,32.0
Banja Luka,PM2.5 - Principal,2021-09-10 05:00:00,2021,9,10,5,13.5,54,Moderate,14.2,UG/M3,1 Hr,Valid,33.0
Banja Luka,PM2.5 - Principal,2021-09-10 06:00:00,2021,9,10,6,13.0,53,Moderate,12.5,UG/M3,1 Hr,Valid,34.0
Banja Luka,PM2.5 - Principal,2021-09-10 07:00:00,2021,9,10,7,12.9,53,Moderate,12.8,UG/M3,1 Hr,Valid,35.0
Banja Luka,PM2.5 - Principal,2021-09-10 08:00:00,2021,9,10,8,13.6,54,Moderate,14.4,UG/M3,1 Hr,Valid,36.0
Banja Luka,PM2.5 - Principal,2021-09-10 09:00:00,2021,9,10,9,14.9,57,Moderate,16.4,UG/M3,1 Hr,Valid,37.0
Banja Luka,PM2.5 - Principal,2021-09-10 10:00:00,2021,9,10,10,15.7,59,Moderate,16.6,UG/M3,1 Hr,Valid,38.0
Banja Luka,PM2.5 - Principal,2021-09-10 11:00:00,2021,9,10,11,15.6,58,Moderate,15.5,UG/M3,1 Hr,Valid,39.0
Banja Luka,PM2.5 - Principal,2021-09-10 12:00:00,2021,9,10,12,15.4,58,Moderate,16.1,UG/M3,1 Hr,Valid,40.0
Banja Luka,PM2.5 - Principal,2021-09-10 13:00:00,2021,9,10,13,14.7,56,Moderate,13.1,UG/M3,1 Hr,Valid,41.0
Banja Luka,PM2.5 - Principal,2021-09-10 14:00:00,2021,9,10,14,14.3,56,Moderate,13.2,UG/M3,1 Hr,Valid,42.0
Banja Luka,PM2.5 - Principal,2021-09-10 15:00:00,2021,9,10,15,14.0,55,Moderate,13.1,UG/M3,1 Hr,Valid,43.0
Banja Luka,PM2.5 - Principal,2021-09-10 16:00:00,2021,9,10,16,13.7,54,Moderate,12.6,UG/M3,1 Hr,Valid,44.0
Banja Luka,PM2.5 - Principal,2021-09-11 08:00:00,2021,9,11,8,15.9,59,Moderate,16.4,UG/M3,1 Hr,Valid,60.0
Banja Luka,PM2.5 - Principal,2021-09-11 09:00:00,2021,9,11,9,16.7,61,Moderate,17.9,UG/M3,1 Hr,Valid,46.0
Banja Luka,PM2.5 - Principal,2021-09-11 10:00:00,2021,9,11,10,17.2,62,Moderate,18.3,UG/M3,1 Hr,Valid,47.0
Banja Luka,PM2.5 - Principal,2021-09-11 11:00:00,2021,9,11,11,17.5,62,Moderate,18.3,UG/M3,1 Hr,Valid,48.0
Banja Luka,PM2.5 - Principal,2021-09-11 12:00:00,2021,9,11,12,17.3,62,Moderate,16.5,UG/M3,1 Hr,Valid,49.0
Banja Luka,PM2.5 - Principal,2021-09-11 13:00:00,2021,9,11,13,16.8,61,Moderate,15.2,UG/M3,1 Hr,Valid,50.0
Banja Luka,PM2.5 - Principal,2021-09-11 14:00:00,2021,9,11,14,16.3,60,Moderate,14.9,UG/M3,1 Hr,Valid,51.0
Banja Luka,PM2.5 - Principal,2021-09-11 15:00:00,2021,9,11,15,15.9,59,Moderate,14.6,UG/M3,1 Hr,Valid,52.0
Banja Luka,PM2.5 - Principal,2021-09-11 16:00:00,2021,9,11,16,15.4,58,Moderate,14.1,UG/M3,1 Hr,Valid,53.0
Banja Luka,PM2.5 - Principal,2021-09-11 17:00:00,2021,9,11,17,15.1,57,Moderate,14.1,UG/M3,1 Hr,Valid,54.0
Banja Luka,PM2.5 - Principal,2021-09-11 18:00:00,2021,9,11,18,14.8,57,Moderate,14.0,UG/M3,1 Hr,Valid,55.0
Banja Luka,PM2.5 - Principal,2021-09-11 19:00:00,2021,9,11,19,14.1,55,Moderate,13.0,UG/M3,1 Hr,Valid,56.0
Banja Luka,PM2.5 - Principal,2021-09-11 20:00:00,2021,9,11,20,14.1,55,Moderate,14.0,UG/M3,1 Hr,Valid,57.0
Banja Luka,PM2.5 - Principal,2021-09-11 21:00:00,2021,9,11,21,19.0,66,Moderate,24.7,UG/M3,1 Hr,Valid,58.0
Banja Luka,PM2.5 - Principal,2021-09-11 22:00:00,2021,9,11,22,24.2,76,Moderate,29.2,UG/M3,1 Hr,Valid,59.0
Banja Luka,PM2.5 - Principal,2021-09-11 23:00:00,2021,9,11,23,22.6,73,Moderate,20.9,UG/M3,1 Hr,Valid,60.0
Banja Luka,PM2.5 - Principal,2021-09-12 00:00:00,2021,9,12,0,23.4,75,Moderate,24.2,UG/M3,1 Hr,Valid,61.0
Banja Luka,PM2.5 - Principal,2021-09-12 01:00:00,2021,9,12,1,21.9,72,Moderate,20.3,UG/M3,1 Hr,Valid,62.0
Banja Luka,PM2.5 - Principal,2021-09-12 02:00:00,2021,9,12,2,18.3,64,Moderate,14.8,UG/M3,1 Hr,Valid,63.0
Banja Luka,PM2.5 - Principal,2021-09-12 03:00:00,2021,9,12,3,16.3,60,Moderate,14.3,UG/M3,1 Hr,Valid,64.0
Banja Luka,PM2.5 - Principal,2021-09-12 04:00:00,2021,9,12,4,15.3,58,Moderate,14.4,UG/M3,1 Hr,Valid,65.0
Banja Luka,PM2.5 - Principal,2021-09-12 05:00:00,2021,9,12,5,15.4,58,Moderate,15.4,UG/M3,1 Hr,Valid,66.0
Banja Luka,PM2.5 - Principal,2021-09-12 06:00:00,2021,9,12,6,15.4,58,Moderate,15.5,UG/M3,1 Hr,Valid,67.0
Banja Luka,PM2.5 - Principal,2021-09-12 07:00:00,2021,9,12,7,16.2,60,Moderate,17.0,UG/M3,1 Hr,Valid,68.0
Banja Luka,PM2.5 - Principal,2021-09-12 08:00:00,2021,9,12,8,16.7,61,Moderate,17.2,UG/M3,1 Hr,Valid,69.0
Banja Luka,PM2.5 - Principal,2021-09-12 09:00:00,2021,9,12,9,17.3,62,Moderate,18.0,UG/M3,1 Hr,Valid,70.0
Banja Luka,PM2.5 - Principal,2021-09-12 10:00:00,2021,9,12,10,17.3,62,Moderate,17.4,UG/M3,1 Hr,Valid,71.0
Banja Luka,PM2.5 - Principal,2021-09-12 11:00:00,2021,9,12,11,16.9,61,Moderate,16.5,UG/M3,1 Hr,Valid,72.0
Banja Luka,PM2.5 - Principal,2021-09-12 12:00:00,2021,9,12,12,17.1,62,Moderate,17.8,UG/M3,1 Hr,Valid,73.0
Banja Luka,PM2.5 - Principal,2021-09-12 13:00:00,2021,9,12,13,16.6,60,Moderate,15.7,UG/M3,1 Hr,Valid,74.0
Banja Luka,PM2.5 - Principal,2021-09-12 14:00:00,2021,9,12,14,16.6,60,Moderate,16.1,UG/M3,1 Hr,Valid,75.0
Banja Luka,PM2.5 - Principal,2021-09-12 15:00:00,2021,9,12,15,16.6,60,Moderate,16.8,UG/M3,1 Hr,Valid,76.0
Banja Luka,PM2.5 - Principal,2021-09-12 16:00:00,2021,9,12,16,16.6,60,Moderate,16.0,UG/M3,1 Hr,Valid,77.0
Banja Luka,PM2.5 - Principal,2021-09-12 17:00:00,2021,9,12,17,16.4,60,Moderate,15.3,UG/M3,1 Hr,Valid,78.0
Banja Luka,PM2.5 - Principal,2021-09-12 18:00:00,2021,9,12,18,16.2,60,Moderate,15.4,UG/M3,1 Hr,Valid,79.0
Banja Luka,PM2.5 - Principal,2021-09-12 19:00:00,2021,9,12,19,16.1,59,Moderate,15.4,UG/M3,1 Hr,Valid,80.0
Banja Luka,PM2.5 - Principal,2021-09-12 20:00:00,2021,9,12,20,15.8,59,Moderate,14.8,UG/M3,1 Hr,Valid,81.0
Banja Luka,PM2.5 - Principal,2021-09-12 21:00:00,2021,9,12,21,16.7,61,Moderate,20.1,UG/M3,1 Hr,Valid,82.0
Banja Luka,PM2.5 - Principal,2021-09-12 22:00:00,2021,9,12,22,29.7,88,Moderate,41.8,UG/M3,1 Hr,Valid,83.0
Banja Luka,PM2.5 - Principal,2021-09-12 23:00:00,2021,9,12,23,26.2,81,Moderate,22.6,UG/M3,1 Hr,Valid,84.0
Banja Luka,PM2.5 - Principal,2021-09-13 00:00:00,2021,9,13,0,22.9,74,Moderate,19.6,UG/M3,1 Hr,Valid,85.0
Banja Luka,PM2.5 - Principal,2021-09-13 01:00:00,2021,9,13,1,20.9,70,Moderate,18.9,UG/M3,1 Hr,Valid,86.0
Banja Luka,PM2.5 - Principal,2021-09-13 02:00:00,2021,9,13,2,19.1,66,Moderate,17.4,UG/M3,1 Hr,Valid,87.0
Banja Luka,PM2.5 - Principal,2021-09-13 03:00:00,2021,9,13,3,18.1,64,Moderate,17.1,UG/M3,1 Hr,Valid,88.0
Banja Luka,PM2.5 - Principal,2021-09-13 04:00:00,2021,9,13,4,16.1,59,Moderate,14.1,UG/M3,1 Hr,Valid,89.0
Banja Luka,PM2.5 - Principal,2021-09-13 05:00:00,2021,9,13,5,15.0,57,Moderate,13.9,UG/M3,1 Hr,Valid,90.0
Banja Luka,PM2.5 - Principal,2021-09-13 06:00:00,2021,9,13,6,14.4,56,Moderate,13.9,UG/M3,1 Hr,Valid,91.0
Banja Luka,PM2.5 - Principal,2021-09-13 07:00:00,2021,9,13,7,14.4,56,Moderate,14.3,UG/M3,1 Hr,Valid,92.0
Banja Luka,PM2.5 - Principal,2021-09-13 08:00:00,2021,9,13,8,15.5,58,Moderate,16.7,UG/M3,1 Hr,Valid,93.0
Banja Luka,PM2.5 - Principal,2021-09-13 09:00:00,2021,9,13,9,17.1,62,Moderate,18.7,UG/M3,1 Hr,Valid,94.0
Banja Luka,PM2.5 - Principal,2021-09-13 10:00:00,2021,9,13,10,16.7,61,Moderate,16.6,UG/M3,1 Hr,Valid,95.0
Banja Luka,PM2.5 - Principal,2021-09-13 11:00:00,2021,9,13,11,16.5,60,Moderate,16.5,UG/M3,1 Hr,Valid,96.0
Banja Luka,PM2.5 - Principal,2021-09-13 12:00:00,2021,9,13,12,16.5,60,Moderate,16.8,UG/M3,1 Hr,Valid,97.0
Banja Luka,PM2.5 - Principal,2021-09-13 13:00:00,2021,9,13,13,15.9,59,Moderate,14.2,UG/M3,1 Hr,Valid,98.0
Banja Luka,PM2.5 - Principal,2021-09-13 14:00:00,2021,9,13,14,15.0,57,Moderate,13.0,UG/M3,1 Hr,Valid,99.0
Banja Luka,PM2.5 - Principal,2021-09-13 15:00:00,2021,9,13,15,14.0,55,Moderate,12.3,UG/M3,1 Hr,Valid,100.0
Banja Luka,PM2.5 - Principal,2021-09-13 16:00:00,2021,9,13,16,13.2,53,Moderate,12.0,UG/M3,1 Hr,Valid,101.0
Banja Luka,PM2.5 - Principal,2021-09-13 17:00:00,2021,9,13,17,12.5,52,Moderate,11.5,UG/M3,1 Hr,Valid,102.0
Banja Luka,PM2.5 - Principal,2021-09-13 18:00:00,2021,9,13,18,12.4,52,Moderate,12.4,UG/M3,1 Hr,Valid,103.0
Banja Luka,PM2.5 - Principal,2021-09-13 19:00:00,2021,9,13,19,12.5,52,Moderate,12.5,UG/M3,1 Hr,Valid,104.0
Banja Luka,PM2.5 - Principal,2021-09-13 20:00:00,2021,9,13,20,13.9,55,Moderate,16.3,UG/M3,1 Hr,Valid,105.0
Banja Luka,PM2.5 - Principal,2021-09-13 21:00:00,2021,9,13,21,19.0,66,Moderate,23.6,UG/M3,1 Hr,Valid,106.0
Banja Luka,PM2.5 - Principal,2021-09-13 22:00:00,2021,9,13,22,24.6,77,Moderate,30.2,UG/M3,1 Hr,Valid,107.0
Banja Luka,PM2.5 - Principal,2021-09-13 23:00:00,2021,9,13,23,26.8,82,Moderate,29.0,UG/M3,1 Hr,Valid,108.0
Banja Luka,PM2.5 - Principal,2021-09-14 00:00:00,2021,9,14,0,28.3,85,Moderate,29.7,UG/M3,1 Hr,Valid,109.0
Banja Luka,PM2.5 - Principal,2021-09-14 01:00:00,2021,9,14,1,24.1,76,Moderate,20.0,UG/M3,1 Hr,Valid,110.0
Banja Luka,PM2.5 - Principal,2021-09-14 02:00:00,2021,9,14,2,18.9,65,Moderate,13.7,UG/M3,1 Hr,Valid,111.0
Banja Luka,PM2.5 - Principal,2021-09-14 03:00:00,2021,9,14,3,16.2,60,Moderate,13.5,UG/M3,1 Hr,Valid,112.0
Banja Luka,PM2.5 - Principal,2021-09-14 04:00:00,2021,9,14,4,14.7,56,Moderate,13.2,UG/M3,1 Hr,Valid,113.0
Banja Luka,PM2.5 - Principal,2021-09-14 05:00:00,2021,9,14,5,13.8,55,Moderate,12.9,UG/M3,1 Hr,Valid,114.0
Banja Luka,PM2.5 - Principal,2021-09-14 06:00:00,2021,9,14,6,13.4,54,Moderate,13.0,UG/M3,1 Hr,Valid,115.0
Banja Luka,PM2.5 - Principal,2021-09-14 07:00:00,2021,9,14,7,13.5,54,Moderate,13.6,UG/M3,1 Hr,Valid,116.0
Banja Luka,PM2.5 - Principal,2021-09-14 08:00:00,2021,9,14,8,14.2,55,Moderate,14.9,UG/M3,1 Hr,Valid,117.0
Banja Luka,PM2.5 - Principal,2021-09-14 09:00:00,2021,9,14,9,16.1,59,Moderate,18.0,UG/M3,1 Hr,Valid,118.0
Banja Luka,PM2.5 - Principal,2021-09-14 10:00:00,2021,9,14,10,15.8,59,Moderate,15.5,UG/M3,1 Hr,Valid,119.0
Banja Luka,PM2.5 - Principal,2021-09-14 11:00:00,2021,9,14,11,15.0,57,Moderate,14.1,UG/M3,1 Hr,Valid,120.0
Banja Luka,PM2.5 - Principal,2021-09-14 12:00:00,2021,9,14,12,15.4,58,Moderate,16.0,UG/M3,1 Hr,Valid,121.0
Banja Luka,PM2.5 - Principal,2021-09-14 13:00:00,2021,9,14,13,15.2,58,Moderate,15.0,UG/M3,1 Hr,Valid,122.0
Banja Luka,PM2.5 - Principal,2021-09-14 14:00:00,2021,9,14,14,14.6,56,Moderate,13.1,UG/M3,1 Hr,Valid,123.0
Banja Luka,PM2.5 - Principal,2021-09-14 15:00:00,2021,9,14,15,14.4,56,Moderate,14.0,UG/M3,1 Hr,Valid,124.0
Banja Luka,PM2.5 - Principal,2021-09-14 16:00:00,2021,9,14,16,13.7,54,Moderate,12.3,UG/M3,1 Hr,Valid,125.0
Banja Luka,PM2.5 - Principal,2021-09-14 17:00:00,2021,9,14,17,13.4,54,Moderate,12.7,UG/M3,1 Hr,Valid,126.0
Banja Luka,PM2.5 - Principal,2021-09-14 18:00:00,2021,9,14,18,13.2,53,Moderate,12.6,UG/M3,1 Hr,Valid,127.0
Banja Luka,PM2.5 - Principal,2021-09-14 19:00:00,2021,9,14,19,12.9,53,Moderate,12.4,UG/M3,1 Hr,Valid,128.0
Banja Luka,PM2.5 - Principal,2021-09-14 20:00:00,2021,9,14,20,14.2,55,Moderate,16.9,UG/M3,1 Hr,Valid,129.0
Banja Luka,PM2.5 - Principal,2021-09-14 21:00:00,2021,9,14,21,22.2,72,Moderate,29.6,UG/M3,1 Hr,Valid,130.0
Banja Luka,PM2.5 - Principal,2021-09-14 22:00:00,2021,9,14,22,24.2,76,Moderate,26.2,UG/M3,1 Hr,Valid,131.0
Banja Luka,PM2.5 - Principal,2021-09-14 23:00:00,2021,9,14,23,24.6,77,Moderate,25.0,UG/M3,1 Hr,Valid,132.0
Banja Luka,PM2.5 - Principal,2021-09-15 00:00:00,2021,9,15,0,22.3,72,Moderate,20.0,UG/M3,1 Hr,Valid,133.0
Banja Luka,PM2.5 - Principal,2021-09-15 01:00:00,2021,9,15,1,18.2,64,Moderate,14.2,UG/M3,1 Hr,Valid,134.0
Banja Luka,PM2.5 - Principal,2021-09-15 02:00:00,2021,9,15,2,18.1,64,Moderate,18.0,UG/M3,1 Hr,Valid,135.0
Banja Luka,PM2.5 - Principal,2021-09-15 03:00:00,2021,9,15,3,16.0,59,Moderate,14.0,UG/M3,1 Hr,Valid,136.0
Banja Luka,PM2.5 - Principal,2021-09-15 04:00:00,2021,9,15,4,15.1,57,Moderate,14.2,UG/M3,1 Hr,Valid,137.0
Banja Luka,PM2.5 - Principal,2021-09-15 05:00:00,2021,9,15,5,15.8,59,Moderate,16.4,UG/M3,1 Hr,Valid,138.0
Banja Luka,PM2.5 - Principal,2021-09-15 06:00:00,2021,9,15,6,15.0,57,Moderate,14.3,UG/M3,1 Hr,Valid,139.0
Banja Luka,PM2.5 - Principal,2021-09-15 07:00:00,2021,9,15,7,15.4,58,Moderate,15.7,UG/M3,1 Hr,Valid,140.0
Banja Luka,PM2.5 - Principal,2021-09-15 08:00:00,2021,9,15,8,16.7,61,Moderate,18.0,UG/M3,1 Hr,Valid,141.0
Banja Luka,PM2.5 - Principal,2021-09-15 09:00:00,2021,9,15,9,18.2,64,Moderate,19.9,UG/M3,1 Hr,Valid,142.0
Banja Luka,PM2.5 - Principal,2021-09-15 10:00:00,2021,9,15,10,17.9,63,Moderate,17.7,UG/M3,1 Hr,Valid,143.0
Banja Luka,PM2.5 - Principal,2021-09-15 11:00:00,2021,9,15,11,17.4,62,Moderate,17.3,UG/M3,1 Hr,Valid,144.0
Banja Luka,PM2.5 - Principal,2021-09-15 12:00:00,2021,9,15,12,16.8,61,Moderate,15.6,UG/M3,1 Hr,Valid,145.0
Banja Luka,PM2.5 - Principal,2021-09-15 13:00:00,2021,9,15,13,16.1,59,Moderate,14.3,UG/M3,1 Hr,Valid,146.0
Banja Luka,PM2.5 - Principal,2021-09-15 14:00:00,2021,9,15,14,15.4,58,Moderate,13.9,UG/M3,1 Hr,Valid,147.0
Banja Luka,PM2.5 - Principal,2021-09-15 15:00:00,2021,9,15,15,13.2,53,Moderate,11.2,UG/M3,1 Hr,Valid,148.0
Banja Luka,PM2.5 - Principal,2021-09-15 16:00:00,2021,9,15,16,12.6,52,Moderate,11.7,UG/M3,1 Hr,Valid,149.0
Banja Luka,PM2.5 - Principal,2021-09-15 17:00:00,2021,9,15,17,11.8,49,Good,11.0,UG/M3,1 Hr,Valid,150.0
Banja Luka,PM2.5 - Principal,2021-09-15 18:00:00,2021,9,15,18,11.4,48,Good,11.0,UG/M3,1 Hr,Valid,151.0
Banja Luka,PM2.5 - Principal,2021-09-15 19:00:00,2021,9,15,19,12.2,51,Moderate,13.2,UG/M3,1 Hr,Valid,152.0
Banja Luka,PM2.5 - Principal,2021-09-15 20:00:00,2021,9,15,20,11.9,50,Good,11.5,UG/M3,1 Hr,Valid,153.0
Banja Luka,PM2.5 - Principal,2021-09-15 21:00:00,2021,9,15,21,11.5,48,Good,10.8,UG/M3,1 Hr,Valid,154.0
Banja Luka,PM2.5 - Principal,2021-09-15 22:00:00,2021,9,15,22,12.2,51,Moderate,13.4,UG/M3,1 Hr,Valid,155.0
Banja Luka,PM2.5 - Principal,2021-09-15 23:00:00,2021,9,15,23,16.2,60,Moderate,20.6,UG/M3,1 Hr,Valid,156.0
Banja Luka,PM2.5 - Principal,2021-09-16 00:00:00,2021,9,16,0,21.4,71,Moderate,26.3,UG/M3,1 Hr,Valid,157.0
Banja Luka,PM2.5 - Principal,2021-09-16 01:00:00,2021,9,16,1,22.4,73,Moderate,23.5,UG/M3,1 Hr,Valid,158.0
Banja Luka,PM2.5 - Principal,2021-09-16 02:00:00,2021,9,16,2,22.9,74,Moderate,23.4,UG/M3,1 Hr,Valid,159.0
Banja Luka,PM2.5 - Principal,2021-09-16 03:00:00,2021,9,16,3,21.8,71,Moderate,20.7,UG/M3,1 Hr,Valid,160.0
Banja Luka,PM2.5 - Principal,2021-09-16 04:00:00,2021,9,16,4,20.1,68,Moderate,18.4,UG/M3,1 Hr,Valid,161.0
Banja Luka,PM2.5 - Principal,2021-09-16 05:00:00,2021,9,16,5,17.9,63,Moderate,15.8,UG/M3,1 Hr,Valid,162.0
Banja Luka,PM2.5 - Principal,2021-09-16 06:00:00,2021,9,16,6,16.0,59,Moderate,14.1,UG/M3,1 Hr,Valid,163.0
Banja Luka,PM2.5 - Principal,2021-09-16 07:00:00,2021,9,16,7,16.4,60,Moderate,16.7,UG/M3,1 Hr,Valid,164.0
Banja Luka,PM2.5 - Principal,2021-09-16 08:00:00,2021,9,16,8,19.0,66,Moderate,21.7,UG/M3,1 Hr,Valid,165.0
Banja Luka,PM2.5 - Principal,2021-09-16 09:00:00,2021,9,16,9,21.6,71,Moderate,24.4,UG/M3,1 Hr,Valid,166.0
Banja Luka,PM2.5 - Principal,2021-09-16 10:00:00,2021,9,16,10,24.8,78,Moderate,28.0,UG/M3,1 Hr,Valid,167.0
Banja Luka,PM2.5 - Principal,2021-09-16 11:00:00,2021,9,16,11,25.5,79,Moderate,26.2,UG/M3,1 Hr,Valid,168.0
Banja Luka,PM2.5 - Principal,2021-09-16 12:00:00,2021,9,16,12,25.9,80,Moderate,26.3,UG/M3,1 Hr,Valid,169.0
Banja Luka,PM2.5 - Principal,2021-09-16 13:00:00,2021,9,16,13,25.5,79,Moderate,25.1,UG/M3,1 Hr,Valid,170.0
Banja Luka,PM2.5 - Principal,2021-09-16 14:00:00,2021,9,16,14,25.4,79,Moderate,25.2,UG/M3,1 Hr,Valid,171.0
Banja Luka,PM2.5 - Principal,2021-09-16 15:00:00,2021,9,16,15,22.5,73,Moderate,19.5,UG/M3,1 Hr,Valid,172.0
Banja Luka,PM2.5 - Principal,2021-09-16 16:00:00,2021,9,16,16,20.6,69,Moderate,18.7,UG/M3,1 Hr,Valid,173.0
Banja Luka,PM2.5 - Principal,2021-09-16 17:00:00,2021,9,16,17,20.4,68,Moderate,20.2,UG/M3,1 Hr,Valid,174.0
Banja Luka,PM2.5 - Principal,2021-09-16 18:00:00,2021,9,16,18,20.2,68,Moderate,19.3,UG/M3,1 Hr,Valid,175.0
Banja Luka,PM2.5 - Principal,2021-09-16 19:00:00,2021,9,16,19,21.2,70,Moderate,22.3,UG/M3,1 Hr,Valid,176.0
Banja Luka,PM2.5 - Principal,2021-09-16 20:00:00,2021,9,16,20,20.3,68,Moderate,18.6,UG/M3,1 Hr,Valid,177.0
Banja Luka,PM2.5 - Principal,2021-09-16 21:00:00,2021,9,16,21,19.2,66,Moderate,17.6,UG/M3,1 Hr,Valid,178.0
Banja Luka,PM2.5 - Principal,2021-09-16 22:00:00,2021,9,16,22,18.7,65,Moderate,17.5,UG/M3,1 Hr,Valid,179.0
Banja Luka,PM2.5 - Principal,2021-09-16 23:00:00,2021,9,16,23,18.6,65,Moderate,18.4,UG/M3,1 Hr,Valid,180.0
Banja Luka,PM2.5 - Principal,2021-09-17 00:00:00,2021,9,17,0,18.4,64,Moderate,17.9,UG/M3,1 Hr,Valid,181.0
Banja Luka,PM2.5 - Principal,2021-09-17 01:00:00,2021,9,17,1,18.6,65,Moderate,19.1,UG/M3,1 Hr,Valid,182.0
Banja Luka,PM2.5 - Principal,2021-09-17 02:00:00,2021,9,17,2,19.1,66,Moderate,20.5,UG/M3,1 Hr,Valid,183.0
Banja Luka,PM2.5 - Principal,2021-09-17 03:00:00,2021,9,17,3,18.8,65,Moderate,17.9,UG/M3,1 Hr,Valid,184.0
